Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
R_V=3.1 galactic dust with C/H = b_C = 60.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

**************************** NOTE ***********************************
C_ext/H and K_abs published in Table 6 of Li & Draine (2001) are too
small by a factor of 1.086 (see erratum, Li & Draine 2001b).

This table is an extended and corrected version of Table 6 from Li & 
Draine (2001), recalculated by B.T. Draine 2001.07.05

*********************************************************************

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron)
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
1.558E-02 0.4419  0.9809 8.239E-22 2.537E+04
1.567E-02 0.4411  0.9807 8.260E-22 2.547E+04
1.576E-02 0.4403  0.9804 8.281E-22 2.557E+04
1.585E-02 0.4395  0.9801 8.302E-22 2.567E+04
1.594E-02 0.4387  0.9799 8.323E-22 2.578E+04
1.603E-02 0.4379  0.9796 8.344E-22 2.588E+04
1.613E-02 0.4371  0.9793 8.366E-22 2.598E+04
1.622E-02 0.4363  0.9790 8.387E-22 2.608E+04
1.631E-02 0.4354  0.9787 8.408E-22 2.619E+04
1.641E-02 0.4346  0.9785 8.429E-22 2.629E+04
1.650E-02 0.4338  0.9782 8.450E-22 2.640E+04
1.660E-02 0.4330  0.9779 8.471E-22 2.650E+04
1.669E-02 0.4322  0.9776 8.493E-22 2.661E+04
1.679E-02 0.4314  0.9773 8.515E-22 2.671E+04
1.688E-02 0.4305  0.9770 8.536E-22 2.682E+04
1.698E-02 0.4297  0.9767 8.558E-22 2.693E+04
1.708E-02 0.4288  0.9764 8.580E-22 2.704E+04
1.718E-02 0.4279  0.9760 8.601E-22 2.715E+04
1.728E-02 0.4270  0.9757 8.623E-22 2.726E+04
1.738E-02 0.4261  0.9754 8.644E-22 2.737E+04
1.748E-02 0.4251  0.9751 8.665E-22 2.748E+04
1.758E-02 0.4242  0.9748 8.687E-22 2.760E+04
1.768E-02 0.4232  0.9745 8.708E-22 2.771E+04
1.778E-02 0.4222  0.9742 8.728E-22 2.783E+04
1.789E-02 0.4211  0.9738 8.748E-22 2.794E+04
1.799E-02 0.4199  0.9735 8.768E-22 2.806E+04
1.809E-02 0.4188  0.9732 8.788E-22 2.818E+04
1.820E-02 0.4176  0.9729 8.808E-22 2.830E+04
1.830E-02 0.4164  0.9726 8.828E-22 2.843E+04
1.841E-02 0.4151  0.9723 8.848E-22 2.855E+04
1.851E-02 0.4139  0.9719 8.868E-22 2.868E+04
1.862E-02 0.4126  0.9716 8.887E-22 2.880E+04
1.873E-02 0.4113  0.9713 8.907E-22 2.893E+04
1.884E-02 0.4095  0.9710 8.920E-22 2.906E+04
1.895E-02 0.4068  0.9708 8.924E-22 2.921E+04
1.905E-02 0.4113  0.9713 8.784E-22 2.853E+04
1.916E-02 0.4112  0.9708 8.815E-22 2.863E+04
1.928E-02 0.4113  0.9704 8.848E-22 2.874E+04
1.939E-02 0.4112  0.9699 8.880E-22 2.885E+04
1.950E-02 0.4111  0.9695 8.912E-22 2.896E+04
1.961E-02 0.4109  0.9690 8.944E-22 2.907E+04
1.972E-02 0.4107  0.9686 8.975E-22 2.918E+04
1.984E-02 0.4104  0.9681 9.005E-22 2.929E+04
1.995E-02 0.4101  0.9676 9.036E-22 2.941E+04
2.007E-02 0.4097  0.9672 9.065E-22 2.952E+04
2.018E-02 0.4093  0.9667 9.095E-22 2.964E+04
2.030E-02 0.4089  0.9663 9.124E-22 2.976E+04
2.042E-02 0.4084  0.9658 9.153E-22 2.987E+04
2.054E-02 0.4079  0.9653 9.181E-22 2.999E+04
2.065E-02 0.4073  0.9649 9.209E-22 3.011E+04
2.077E-02 0.4067  0.9644 9.238E-22 3.024E+04
2.089E-02 0.4060  0.9639 9.266E-22 3.036E+04
2.101E-02 0.4054  0.9635 9.294E-22 3.049E+04
2.113E-02 0.4046  0.9630 9.321E-22 3.062E+04
2.126E-02 0.4039  0.9625 9.348E-22 3.075E+04
2.138E-02 0.4031  0.9621 9.376E-22 3.087E+04
2.150E-02 0.4023  0.9616 9.402E-22 3.100E+04
2.163E-02 0.4016  0.9611 9.430E-22 3.113E+04
2.175E-02 0.4008  0.9607 9.457E-22 3.126E+04
2.188E-02 0.4000  0.9602 9.485E-22 3.140E+04
2.200E-02 0.3992  0.9597 9.512E-22 3.153E+04
2.213E-02 0.3984  0.9592 9.540E-22 3.166E+04
2.226E-02 0.3976  0.9587 9.568E-22 3.180E+04
2.239E-02 0.3967  0.9582 9.596E-22 3.194E+04
2.252E-02 0.3958  0.9577 9.623E-22 3.208E+04
2.265E-02 0.3948  0.9572 9.649E-22 3.222E+04
2.278E-02 0.3936  0.9568 9.674E-22 3.237E+04
2.291E-02 0.3924  0.9563 9.700E-22 3.252E+04
2.304E-02 0.3937  0.9561 9.673E-22 3.236E+04
2.317E-02 0.3935  0.9554 9.714E-22 3.250E+04
2.331E-02 0.3932  0.9548 9.754E-22 3.266E+04
2.344E-02 0.3927  0.9542 9.793E-22 3.281E+04
2.358E-02 0.3920  0.9535 9.830E-22 3.297E+04
2.371E-02 0.3913  0.9529 9.865E-22 3.313E+04
2.385E-02 0.3905  0.9523 9.900E-22 3.329E+04
2.399E-02 0.3897  0.9517 9.935E-22 3.345E+04
2.413E-02 0.3889  0.9511 9.970E-22 3.361E+04
2.427E-02 0.3881  0.9505 1.000E-21 3.378E+04
2.441E-02 0.3873  0.9499 1.004E-21 3.394E+04
2.455E-02 0.3864  0.9493 1.008E-21 3.411E+04
2.469E-02 0.3856  0.9487 1.011E-21 3.427E+04
2.483E-02 0.3847  0.9480 1.015E-21 3.444E+04
2.497E-02 0.3838  0.9474 1.018E-21 3.461E+04
2.512E-02 0.3829  0.9468 1.022E-21 3.478E+04
2.526E-02 0.3820  0.9462 1.025E-21 3.495E+04
2.541E-02 0.3811  0.9455 1.029E-21 3.512E+04
2.556E-02 0.3802  0.9449 1.032E-21 3.530E+04
2.570E-02 0.3793  0.9442 1.036E-21 3.547E+04
2.585E-02 0.3784  0.9436 1.039E-21 3.565E+04
2.600E-02 0.3775  0.9430 1.043E-21 3.582E+04
2.615E-02 0.3765  0.9423 1.047E-21 3.600E+04
2.630E-02 0.3756  0.9417 1.050E-21 3.618E+04
2.645E-02 0.3747  0.9410 1.054E-21 3.636E+04
2.661E-02 0.3737  0.9403 1.057E-21 3.654E+04
2.676E-02 0.3728  0.9397 1.061E-21 3.672E+04
2.692E-02 0.3718  0.9390 1.065E-21 3.690E+04
2.707E-02 0.3709  0.9384 1.068E-21 3.708E+04
2.723E-02 0.3699  0.9377 1.072E-21 3.726E+04
2.738E-02 0.3690  0.9370 1.076E-21 3.744E+04
2.754E-02 0.3681  0.9363 1.079E-21 3.763E+04
2.770E-02 0.3671  0.9357 1.083E-21 3.781E+04
2.786E-02 0.3662  0.9350 1.087E-21 3.800E+04
2.802E-02 0.3652  0.9343 1.090E-21 3.819E+04
2.818E-02 0.3643  0.9336 1.094E-21 3.838E+04
2.835E-02 0.3633  0.9329 1.098E-21 3.857E+04
2.851E-02 0.3623  0.9322 1.102E-21 3.876E+04
2.867E-02 0.3614  0.9315 1.106E-21 3.895E+04
2.884E-02 0.3604  0.9308 1.109E-21 3.915E+04
2.901E-02 0.3594  0.9301 1.113E-21 3.934E+04
2.917E-02 0.3584  0.9294 1.117E-21 3.954E+04
2.934E-02 0.3575  0.9286 1.121E-21 3.974E+04
2.951E-02 0.3565  0.9279 1.125E-21 3.994E+04
2.968E-02 0.3555  0.9272 1.129E-21 4.014E+04
2.985E-02 0.3545  0.9265 1.133E-21 4.035E+04
3.003E-02 0.3535  0.9257 1.137E-21 4.055E+04
3.020E-02 0.3525  0.9250 1.141E-21 4.076E+04
3.037E-02 0.3515  0.9243 1.145E-21 4.096E+04
3.055E-02 0.3505  0.9236 1.149E-21 4.117E+04
3.073E-02 0.3496  0.9228 1.153E-21 4.137E+04
3.090E-02 0.3486  0.9221 1.157E-21 4.158E+04
3.108E-02 0.3476  0.9213 1.161E-21 4.179E+04
3.126E-02 0.3466  0.9206 1.165E-21 4.200E+04
3.144E-02 0.3457  0.9198 1.169E-21 4.221E+04
3.162E-02 0.3447  0.9191 1.173E-21 4.242E+04
3.181E-02 0.3437  0.9183 1.177E-21 4.264E+04
3.199E-02 0.3427  0.9176 1.182E-21 4.285E+04
3.217E-02 0.3418  0.9168 1.186E-21 4.306E+04
3.236E-02 0.3408  0.9161 1.190E-21 4.328E+04
3.255E-02 0.3398  0.9153 1.194E-21 4.350E+04
3.273E-02 0.3388  0.9146 1.198E-21 4.371E+04
3.292E-02 0.3378  0.9138 1.203E-21 4.393E+04
3.311E-02 0.3368  0.9131 1.207E-21 4.415E+04
3.330E-02 0.3359  0.9123 1.211E-21 4.437E+04
3.350E-02 0.3349  0.9116 1.215E-21 4.459E+04
3.369E-02 0.3339  0.9108 1.219E-21 4.481E+04
3.388E-02 0.3329  0.9101 1.224E-21 4.504E+04
3.408E-02 0.3319  0.9093 1.228E-21 4.526E+04
3.428E-02 0.3309  0.9086 1.232E-21 4.549E+04
3.447E-02 0.3299  0.9078 1.236E-21 4.571E+04
3.467E-02 0.3289  0.9070 1.241E-21 4.594E+04
3.487E-02 0.3279  0.9063 1.245E-21 4.617E+04
3.508E-02 0.3269  0.9056 1.249E-21 4.640E+04
3.528E-02 0.3259  0.9049 1.254E-21 4.662E+04
3.548E-02 0.3247  0.9043 1.258E-21 4.687E+04
3.569E-02 0.3232  0.9037 1.263E-21 4.716E+04
3.589E-02 0.3219  0.9032 1.267E-21 4.741E+04
3.610E-02 0.3208  0.9028 1.271E-21 4.761E+04
3.631E-02 0.3200  0.9023 1.273E-21 4.777E+04
3.652E-02 0.3196  0.9019 1.274E-21 4.783E+04
3.673E-02 0.3202  0.9015 1.271E-21 4.768E+04
3.694E-02 0.3209  0.9011 1.268E-21 4.752E+04
3.715E-02 0.3219  0.9006 1.265E-21 4.733E+04
3.737E-02 0.3230  0.9001 1.261E-21 4.711E+04
3.758E-02 0.3243  0.8994 1.258E-21 4.689E+04
3.780E-02 0.3252  0.8986 1.257E-21 4.678E+04
3.802E-02 0.3260  0.8976 1.256E-21 4.670E+04
3.824E-02 0.3268  0.8966 1.256E-21 4.665E+04
3.846E-02 0.3275  0.8955 1.256E-21 4.661E+04
3.868E-02 0.3282  0.8943 1.257E-21 4.660E+04
3.890E-02 0.3287  0.8931 1.258E-21 4.661E+04
3.913E-02 0.3292  0.8919 1.260E-21 4.663E+04
3.936E-02 0.3296  0.8907 1.262E-21 4.668E+04
3.958E-02 0.3299  0.8893 1.264E-21 4.674E+04
3.981E-02 0.3302  0.8880 1.267E-21 4.681E+04
4.004E-02 0.3304  0.8866 1.270E-21 4.690E+04
4.027E-02 0.3305  0.8852 1.272E-21 4.700E+04
4.050E-02 0.3306  0.8838 1.276E-21 4.711E+04
4.074E-02 0.3306  0.8823 1.279E-21 4.724E+04
4.097E-02 0.3306  0.8808 1.283E-21 4.738E+04
4.121E-02 0.3306  0.8793 1.287E-21 4.753E+04
4.145E-02 0.3306  0.8776 1.291E-21 4.767E+04
4.169E-02 0.3307  0.8758 1.295E-21 4.782E+04
4.193E-02 0.3306  0.8741 1.300E-21 4.800E+04
4.217E-02 0.3303  0.8723 1.305E-21 4.821E+04
4.241E-02 0.3299  0.8704 1.310E-21 4.845E+04
4.266E-02 0.3294  0.8686 1.316E-21 4.871E+04
4.290E-02 0.3284  0.8668 1.324E-21 4.907E+04
4.315E-02 0.3270  0.8651 1.333E-21 4.949E+04
4.340E-02 0.3256  0.8635 1.342E-21 4.992E+04
4.365E-02 0.3241  0.8618 1.351E-21 5.036E+04
4.390E-02 0.3227  0.8601 1.360E-21 5.081E+04
4.416E-02 0.3212  0.8584 1.369E-21 5.127E+04
4.441E-02 0.3200  0.8567 1.377E-21 5.167E+04
4.467E-02 0.3191  0.8551 1.385E-21 5.201E+04
4.493E-02 0.3182  0.8534 1.392E-21 5.236E+04
4.519E-02 0.3173  0.8517 1.399E-21 5.271E+04
4.545E-02 0.3163  0.8500 1.407E-21 5.308E+04
4.571E-02 0.3154  0.8483 1.415E-21 5.344E+04
4.597E-02 0.3143  0.8466 1.423E-21 5.384E+04
4.624E-02 0.3129  0.8449 1.433E-21 5.432E+04
4.651E-02 0.3115  0.8432 1.443E-21 5.481E+04
4.677E-02 0.3101  0.8414 1.453E-21 5.530E+04
4.704E-02 0.3087  0.8397 1.463E-21 5.581E+04
4.732E-02 0.3073  0.8379 1.474E-21 5.633E+04
4.759E-02 0.3059  0.8362 1.485E-21 5.686E+04
4.786E-02 0.3046  0.8344 1.495E-21 5.736E+04
4.814E-02 0.3034  0.8327 1.505E-21 5.784E+04
4.842E-02 0.3022  0.8310 1.515E-21 5.833E+04
4.870E-02 0.3010  0.8292 1.525E-21 5.882E+04
4.898E-02 0.2998  0.8274 1.536E-21 5.932E+04
4.926E-02 0.2987  0.8257 1.546E-21 5.982E+04
4.955E-02 0.2975  0.8239 1.557E-21 6.033E+04
4.983E-02 0.2964  0.8221 1.568E-21 6.086E+04
5.012E-02 0.2952  0.8202 1.579E-21 6.141E+04
5.041E-02 0.2940  0.8183 1.591E-21 6.196E+04
5.070E-02 0.2928  0.8164 1.603E-21 6.253E+04
5.099E-02 0.2916  0.8145 1.615E-21 6.311E+04
5.129E-02 0.2905  0.8125 1.627E-21 6.371E+04
5.158E-02 0.2893  0.8105 1.640E-21 6.432E+04
5.188E-02 0.2883  0.8084 1.653E-21 6.492E+04
5.218E-02 0.2872  0.8062 1.666E-21 6.554E+04
5.248E-02 0.2861  0.8040 1.680E-21 6.618E+04
5.278E-02 0.2850  0.8018 1.695E-21 6.685E+04
5.309E-02 0.2839  0.7995 1.709E-21 6.754E+04
5.339E-02 0.2828  0.7971 1.725E-21 6.825E+04
5.370E-02 0.2817  0.7948 1.741E-21 6.900E+04
5.401E-02 0.2803  0.7925 1.758E-21 6.980E+04
5.433E-02 0.2786  0.7903 1.776E-21 7.068E+04
5.464E-02 0.2770  0.7879 1.795E-21 7.159E+04
5.495E-02 0.2755  0.7855 1.814E-21 7.251E+04
5.527E-02 0.2742  0.7829 1.834E-21 7.345E+04
5.559E-02 0.2729  0.7802 1.855E-21 7.440E+04
5.591E-02 0.2717  0.7774 1.876E-21 7.537E+04
5.623E-02 0.2707  0.7745 1.898E-21 7.636E+04
5.656E-02 0.2706  0.7710 1.918E-21 7.719E+04
5.689E-02 0.2710  0.7671 1.938E-21 7.796E+04
5.721E-02 0.2713  0.7630 1.960E-21 7.878E+04
5.754E-02 0.2716  0.7588 1.982E-21 7.965E+04
5.788E-02 0.2718  0.7545 2.005E-21 8.057E+04
5.821E-02 0.2621  0.7619 2.067E-21 8.417E+04
5.855E-02 0.2593  0.7571 2.116E-21 8.649E+04
5.888E-02 0.2565  0.7523 2.166E-21 8.885E+04
5.922E-02 0.2534  0.7473 2.221E-21 9.147E+04
5.957E-02 0.2499  0.7423 2.279E-21 9.432E+04
5.991E-02 0.2464  0.7375 2.338E-21 9.720E+04
6.026E-02 0.2430  0.7328 2.397E-21 1.001E+05
6.060E-02 0.2396  0.7282 2.457E-21 1.031E+05
6.095E-02 0.2364  0.7238 2.517E-21 1.060E+05
6.131E-02 0.2332  0.7195 2.578E-21 1.091E+05
6.166E-02 0.2301  0.7152 2.640E-21 1.121E+05
6.202E-02 0.2271  0.7111 2.702E-21 1.152E+05
6.237E-02 0.2237  0.7082 2.760E-21 1.182E+05
6.273E-02 0.2205  0.7055 2.817E-21 1.211E+05
6.310E-02 0.2174  0.7030 2.873E-21 1.240E+05
6.346E-02 0.2144  0.7006 2.928E-21 1.269E+05
6.383E-02 0.2115  0.6984 2.983E-21 1.298E+05
6.419E-02 0.2087  0.6963 3.037E-21 1.326E+05
6.457E-02 0.2059  0.6944 3.089E-21 1.353E+05
6.494E-02 0.2033  0.6926 3.141E-21 1.381E+05
6.531E-02 0.2008  0.6909 3.191E-21 1.407E+05
6.569E-02 0.1984  0.6891 3.240E-21 1.433E+05
6.607E-02 0.1962  0.6874 3.288E-21 1.458E+05
6.645E-02 0.1940  0.6858 3.335E-21 1.483E+05
6.683E-02 0.1922  0.6843 3.375E-21 1.504E+05
6.722E-02 0.1901  0.6828 3.421E-21 1.528E+05
6.761E-02 0.1881  0.6815 3.466E-21 1.553E+05
6.800E-02 0.1860  0.6802 3.512E-21 1.577E+05
6.839E-02 0.1839  0.6790 3.558E-21 1.602E+05
6.879E-02 0.1820  0.6778 3.602E-21 1.626E+05
6.918E-02 0.1800  0.6769 3.645E-21 1.649E+05
6.958E-02 0.1783  0.6760 3.685E-21 1.671E+05
6.998E-02 0.1766  0.6751 3.722E-21 1.691E+05
7.039E-02 0.1753  0.6743 3.754E-21 1.708E+05
7.079E-02 0.1741  0.6735 3.781E-21 1.723E+05
7.120E-02 0.1733  0.6728 3.800E-21 1.733E+05
7.161E-02 0.1728  0.6721 3.813E-21 1.740E+05
7.203E-02 0.1726  0.6715 3.817E-21 1.742E+05
7.244E-02 0.1728  0.6709 3.813E-21 1.740E+05
7.286E-02 0.1733  0.6703 3.801E-21 1.734E+05
7.328E-02 0.1782  0.6578 3.846E-21 1.744E+05
7.371E-02 0.1791  0.6583 3.813E-21 1.727E+05
7.413E-02 0.1803  0.6588 3.773E-21 1.706E+05
7.456E-02 0.1817  0.6594 3.728E-21 1.683E+05
7.499E-02 0.1834  0.6601 3.678E-21 1.657E+05
7.542E-02 0.1852  0.6608 3.625E-21 1.630E+05
7.586E-02 0.1872  0.6616 3.570E-21 1.601E+05
7.630E-02 0.1892  0.6624 3.514E-21 1.572E+05
7.674E-02 0.1913  0.6633 3.456E-21 1.542E+05
7.718E-02 0.1934  0.6643 3.399E-21 1.513E+05
7.762E-02 0.1956  0.6651 3.344E-21 1.484E+05
7.807E-02 0.1982  0.6652 3.292E-21 1.456E+05
7.852E-02 0.2008  0.6654 3.242E-21 1.429E+05
7.898E-02 0.2033  0.6656 3.193E-21 1.404E+05
7.943E-02 0.2057  0.6658 3.146E-21 1.379E+05
7.989E-02 0.2081  0.6661 3.101E-21 1.355E+05
8.035E-02 0.2104  0.6664 3.057E-21 1.332E+05
8.082E-02 0.2127  0.6667 3.015E-21 1.310E+05
8.128E-02 0.2148  0.6670 2.975E-21 1.289E+05
8.175E-02 0.2169  0.6674 2.937E-21 1.269E+05
8.222E-02 0.2189  0.6678 2.901E-21 1.250E+05
8.270E-02 0.2208  0.6683 2.866E-21 1.232E+05
8.318E-02 0.2224  0.6689 2.833E-21 1.215E+05
8.366E-02 0.2240  0.6696 2.802E-21 1.200E+05
8.414E-02 0.2254  0.6702 2.773E-21 1.185E+05
8.463E-02 0.2268  0.6708 2.745E-21 1.171E+05
8.511E-02 0.2280  0.6714 2.719E-21 1.158E+05
8.561E-02 0.2292  0.6720 2.693E-21 1.145E+05
8.610E-02 0.2303  0.6725 2.669E-21 1.134E+05
8.660E-02 0.2314  0.6731 2.647E-21 1.122E+05
8.710E-02 0.2323  0.6736 2.625E-21 1.112E+05
8.760E-02 0.2333  0.6740 2.604E-21 1.102E+05
8.810E-02 0.2341  0.6744 2.584E-21 1.092E+05
8.861E-02 0.2350  0.6746 2.566E-21 1.083E+05
8.913E-02 0.2369  0.6729 2.553E-21 1.075E+05
8.964E-02 0.2388  0.6708 2.542E-21 1.068E+05
9.016E-02 0.2408  0.6686 2.532E-21 1.061E+05
9.068E-02 0.2429  0.6660 2.523E-21 1.054E+05
9.120E-02 0.2451  0.6634 2.515E-21 1.047E+05
9.173E-02 0.2469  0.6618 2.502E-21 1.039E+05
9.226E-02 0.2488  0.6603 2.489E-21 1.031E+05
9.279E-02 0.2506  0.6590 2.475E-21 1.023E+05
9.333E-02 0.2524  0.6578 2.461E-21 1.015E+05
9.386E-02 0.2542  0.6566 2.447E-21 1.007E+05
